row_ID,mz_rt,mz,rt,40TT_10M2_neq_16,FreshJuice1_neq_24,FreshJuice3_neg_64,40TT_10M5_neg_40,40TT_10M4_neg_26,FreshJuice4_neg_38,FreshJuice6_neg_45,FreshJuice5_neg_73,40TT_10M6_neg_72,40TT_10M3_neg_46,FreshJuice2_neg_54,MEF_SS6_neg_75,MEF_SS4_neg_68,MEF_SS1_neg_56,MEF_SS2_neg_34,MEF_SS3_neg_52,MEF1_neg_41,MEF2_neg_60,QC11_neg_78,QC4_neg_28,QC10_neg_74,QC2_neg_13,MEF4_neg_29,MEF5_neg_50,MEF3_neg_44,QC9_neg_67,QC5_neg_35,QC6_neg_43,QC3_neq_20,QC7_neg_51,QC8_neg_59,QC12_neg_79,QC1_neg_12
1722,515.1615_1.3251,515.161472,1.3251158,11774.558,11304.968,11618.504,10685.486,9928.183,11141.906,10895.352,12276.239,10689.647,8895.317,10429.962,10555.231,9213.361,8438.48,9359.871,12391.538,9392.569,9700.804,10908.9375,10528.244,9655.178,11231.744,9665.719,9709.838,10592.357,10740.628,11801.295,10531.023,13876.334,11031.521,10794.528,9169.901,11796.575
1830,515.1615_1.5651,515.1615362,1.5650948,80409.45,86753.73,88617.92,74180.81,78881.17,80461.44,86090.95,78545.234,83370.23,79138.82,84573.48,65161.82,69575.3,62487.94,68747.99,70708.625,66458.48,70673.89,77207.766,73103.305,77327.49,76725.414,70443.58,68597.42,73052.64,71667.51,75000.48,68572.89,78630.85,68244.32,77079.875,78379.48,83886.625
3108,515.1767_2.4707,515.1766585,2.4706664,9746.744,11832.591,9250.206,10866.832,12254.29,12073.686,9137.707,11756.246,11203.429,9685.814,9454.038,4882.0073,6612.7905,5515.967,4931.914,5795.768,4850.762,8472.828,8572.765,8314.003,9720.226,9940.75,8367.252,9336.081,8905.801,8585.137,8749.015,8139.0664,9608.615,8975.471,7948.237,8115.574,8579.28
4253,515.1919_3.8105,515.1918918,3.8104515,5518.3164,NA,NA,8420.624,8829.268,NA,NA,NA,10227.783,8460.376,NA,5581.33,4700.808,4679.3267,6998.215,4931.769,3151.221,5064.469,7679.623,7059.3447,7596.767,7207.5376,6643.9595,8075.6206,5521.6104,7654.2124,6720.6426,9171.039,7983.0186,6719.059,6982.644,8177.7515,6557.7793
4111,515.192_3.4653,515.1919638,3.4652655,5487.5684,NA,1274.3973,6830.0566,8825.114,1196.8298,1717.0414,1471.485,8004.6797,6304.654,1355.5807,5669.8057,4610.3257,5513.1064,6121.965,5132.1367,3838.0217,5099.593,7315.6255,8156.4136,8314.89,6094.1855,5970.4624,6165.64,7188.067,7532.356,6389.772,9218.784,6905.119,6774.2,6238.569,5150.009,7612.7065
4589,515.1927_4.5717,515.1926997,4.571731,1207759.5,1407973.5,1407862.6,1138383.9,1107808.6,1378924.1,1386531.5,1354257.1,1153139.9,1123063.5,1417285.8,430444.47,483113.28,469864.97,434875.47,465365.88,323412.8,565954,1027616.25,998120.8,1014171.94,1024265.94,654281.56,685369.1,629592.9,1029044,994993.56,1024432.8,1012156.75,1046681.4,1056119.9,1054561,1006369.9
4107,515.2124_3.4635,515.2124082,3.46349,8438.767,7757.851,8479.907,8096.01,8159.7896,9682.67,7200.5728,6381.9424,6840.474,6430.235,7464.99,3712.353,4503.1655,4369.243,5463.1924,3519.5383,3677.5654,6180.3193,6595.9453,8375.5625,8256.429,8264.765,6506.5566,7397.064,5572.3237,7644.367,6959.002,6343.472,7022.778,5880.6924,7015.12,7832.405,8203.537
3394,515.2342_2.7016,515.2342253,2.7016077,38011.406,39503.793,34489.1,32781.52,34711.39,36482.29,30943.291,34894.957,36668.59,31279.04,39614.24,30385.379,36784.39,33796.766,38118.637,35634.793,35908.61,33339.016,34007.65,32538.938,36027.43,34397.594,35498.13,31755.844,35110.453,34107.04,34704.277,28907.51,27864.053,35364.676,36725.625,34424.973,33485.367
4596,515.2389_4.5717,515.2389442,4.571732,60517.695,68254.58,60436.33,53396.89,55215.004,67164.72,62030.223,64381.3,56144.945,54251.56,41156.867,17325.516,19924.512,18847.928,17439.87,19102.205,12861.128,23477.682,47190.832,48541.492,47083.227,51854.375,30006.06,30911.125,27466.152,48637.715,48533.066,48399.95,48000.188,49507.223,49790.875,50025.09,51452.94
4609,516.1957_4.5717,516.1956607,4.5717316,373374.9,431091.9,432774.03,337949.5,333687.9,441953.7,437009.78,407667.44,373935.44,338263.25,429826.9,132588.67,157277.75,149881.64,131367.2,158697.11,109949.414,185847.23,311293.72,301922.62,298824.44,303513.53,210900.56,218207.52,197676.28,300895.03,298224.8,319792.97,315740.62,315546.1,313044.22,306083.1,307118.97
